Region,Division,State,Age_Group,Sex,Race_and_Origin,Race_and_Origin_rank,Race,Origin,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Population_2017,Population_2018,Population_2019,Population_2020
Midwest,East North Central,Illinois,a) 0-4,Female,Asian - Not Hispanic,4,Asian Alone,Not Hispanic,19156.0,19609.0,20278.0,20930.0,21264.0,21550.0,21559.0,21911.0,21803.0,21668.0,21254.0
Midwest,East North Central,Illinois,a) 0-4,Female,Black - Not Hispanic,3,Black or African American Alone,Not Hispanic,64204.0,63446.0,62610.0,61751.0,61615.0,61568.0,61243.0,60465.0,59778.0,58484.0,56765.0
Midwest,East North Central,Illinois,a) 0-4,Female,Hispanic (any race),1,American Indian or Alaska Native Alone,Hispanic,2612.0,2225.0,1858.0,1518.0,1210.0,1036.0,1037.0,1029.0,1018.0,1401.0,1818.0
Midwest,East North Central,Illinois,a) 0-4,Female,Hispanic (any race),1,Asian Alone,Hispanic,903.0,848.0,792.0,778.0,758.0,733.0,750.0,791.0,792.0,805.0,846.0
Midwest,East North Central,Illinois,a) 0-4,Female,Hispanic (any race),1,Black or African American Alone,Hispanic,4251.0,4022.0,3823.0,3639.0,3521.0,3453.0,3586.0,3667.0,3750.0,3810.0,3795.0
Midwest,East North Central,Illinois,a) 0-4,Female,Hispanic (any race),1,Native Hawaiian and Other Pacific Islander Alone,Hispanic,193.0,174.0,153.0,163.0,149.0,135.0,121.0,117.0,106.0,132.0,165.0
Midwest,East North Central,Illinois,a) 0-4,Female,Hispanic (any race),1,Two or more races,Hispanic,3268.0,3263.0,3246.0,3167.0,3131.0,3104.0,3159.0,3174.0,3233.0,3246.0,3182.0
Midwest,East North Central,Illinois,a) 0-4,Female,Hispanic (any race),1,White Alone,Hispanic,93527.0,92059.0,89752.0,86541.0,84279.0,82423.0,80913.0,79151.0,78039.0,76461.0,74174.0
Midwest,East North Central,Illinois,a) 0-4,Female,Other - Not Hispanic,5,American Indian or Alaska Native Alone,Not Hispanic,621.0,623.0,599.0,594.0,562.0,537.0,533.0,545.0,540.0,521.0,505.0
Midwest,East North Central,Illinois,a) 0-4,Female,Other - Not Hispanic,5,Native Hawaiian and Other Pacific Islander Alone,Not Hispanic,84.0,92.0,103.0,117.0,120.0,129.0,125.0,116.0,112.0,116.0,121.0
Midwest,East North Central,Illinois,a) 0-4,Female,Other - Not Hispanic,5,Two or more races,Not Hispanic,14835.0,14783.0,14730.0,14757.0,14666.0,14830.0,15019.0,14977.0,14919.0,14808.0,14366.0
Midwest,East North Central,Illinois,a) 0-4,Female,White - Not Hispanic,2,White Alone,Not Hispanic,205530.0,203373.0,200605.0,197932.0,196540.0,194939.0,192975.0,190341.0,187300.0,183346.0,179078.0
